TrialNum	Block	Odd: Visual	Odd: Audio	Odd: Haptic	CueDirection	RT	RespDirection	Acc	TrialTime	ITI
1	1	0	0	0	2	0.637326002120972	2	1	0.000268936157226562	200
2	1	0	0	0	1	0.586972951889038	1	1	2.72553491592407	200
3	1	0	0	0	2	0.566635847091675	2	1	5.44440984725952	200
4	1	1	0	0	1	0.719043970108032	1	1	8.16318297386169	500
5	1	0	0	0	2	0.53907585144043	2	1	11.1822738647461	100
6	1	0	0	0	1	0.659162998199463	1	1	13.7945737838745	300
7	1	1	0	0	2	0.524924993515015	2	1	16.6071379184723	400
8	1	0	0	0	1	0.61695408821106	1	1	19.5195109844208	200
9	1	0	0	0	1	0.73012900352478	1	1	22.2386169433594	500
10	1	0	0	0	2	0.7098548412323	2	1	25.2577188014984	200
11	1	0	0	0	2	0.623093128204346	2	1	27.9701068401337	200
12	1	0	0	0	1	0.626883029937744	1	1	30.6892068386078	200
13	1	0	0	0	1	0.622586011886597	1	1	33.4083778858185	300
14	1	0	0	0	2	0.650254964828491	2	1	36.2274918556213	300
15	1	1	0	0	2	0.870163202285767	2	1	39.0398738384247	400
16	1	0	0	0	2	0.564924955368042	2	1	41.9522788524628	400
17	1	0	0	0	2	0.503849029541016	2	1	44.8713569641113	500
18	1	0	0	0	1	0	0	99	47.8903889656067	100
19	1	0	0	0	2	0.665968894958496	2	1	51.6106088161469	300
20	1	0	0	0	1	0	0	99	54.421553850174	300
21	1	0	0	0	2	0.72545599937439	2	1	58.1024978160858	500
22	1	0	0	0	2	0.500886917114258	2	1	61.1127920150757	100
23	1	0	1	0	2	0	0	99	63.7251517772675	300
24	1	0	0	0	1	0.794909000396729	1	1	67.4224598407745	400
25	1	0	0	0	2	0.878545999526978	2	1	70.3431239128113	500
26	1	0	0	0	1	0.652859926223755	1	1	73.3621799945831	100
27	1	0	0	0	1	0.885759115219116	1	1	75.9745287895203	300
28	1	1	0	0	1	0.613383054733276	1	1	78.787036895752	500
29	1	0	0	0	1	0.762761831283569	1	1	81.7994649410248	200
30	1	0	0	0	1	0.650091171264648	1	1	84.5118339061737	500
31	1	0	1	0	1	0	0	99	87.5309720039368	300
32	1	0	0	0	2	0.814573049545288	2	1	91.2230648994446	400
33	1	0	0	0	1	0.743752002716064	1	1	94.1354629993439	200
34	1	0	0	0	2	0.686223983764648	2	1	96.8545169830322	200
35	1	0	0	0	2	0.623950958251953	2	1	99.573627948761	400
36	1	0	0	0	2	0.672863960266113	2	1	102.492778778076	500
37	1	0	1	0	2	0	0	99	105.511874914169	400
38	1	0	0	0	2	0.692901134490967	2	1	109.207880973816	300
39	1	0	0	0	1	0.946645975112915	1	1	112.016350984573	500
40	1	0	1	0	2	0.872275114059448	2	1	115.028792858124	100
41	1	0	0	0	1	0	0	99	117.641137838364	200
42	1	0	1	0	1	0	0	99	121.183121919632	200
43	1	0	0	0	1	0	0	99	124.807724952698	300
44	1	0	0	0	2	0.647923946380615	2	1	128.341588973999	400
45	1	0	0	0	1	0	0	99	131.256865978241	500
46	1	0	0	0	2	0.670664072036743	2	1	134.955988883972	400
47	1	0	0	0	2	0.590116024017334	2	1	137.868026971817	100
48	1	0	1	0	1	0	0	99	140.487068891525	100
49	1	0	0	0	2	0.573975086212158	2	1	144.167636871338	300
50	1	1	0	0	1	0	0	99	146.978383779526	500
51	1	0	0	0	2	0	0	99	150.342223882675	100
52	1	0	0	0	2	0.511909961700439	2	1	153.955919981003	500
53	1	0	0	0	1	0.926322937011719	1	1	156.975281000137	100
54	1	0	0	0	1	0.634869813919067	1	1	159.587574005127	400
55	1	0	0	0	1	0.935127973556519	1	1	162.500099897385	100
56	1	0	0	0	2	0	0	99	165.119121789932	100
57	1	0	0	0	1	0.769497156143188	1	1	168.798112869263	100
58	1	1	0	0	2	0.805073976516724	2	1	171.410488843918	400
59	1	0	0	0	1	0.685959100723267	1	1	174.322970867157	300
60	1	0	0	0	1	0.601081132888794	1	1	177.142014980316	400
61	2	0	1	0	1	0.850706100463867	1	1	341.982049942017	500
62	2	0	0	0	2	0.705093860626221	2	1	344.994418859482	200
63	2	0	0	0	1	0.562311887741089	1	1	347.706848859787	500
64	2	0	0	0	2	0.569176912307739	2	1	350.72598695755	100
65	2	0	0	0	1	0.44928503036499	1	1	353.338357925415	300
66	2	0	0	0	1	0.627985954284668	1	1	356.15083694458	300
67	2	0	0	0	1	0.560531854629517	1	1	358.963163852692	300
68	2	0	0	0	1	0.489831209182739	1	1	361.775680780411	300
69	2	0	0	0	1	0.454957962036133	1	1	364.58811879158	400
70	2	0	1	0	2	0.908563852310181	2	1	367.500584840775	300
71	2	0	0	0	2	0.941290140151978	2	1	370.319587945938	300
72	2	0	0	0	2	0.639624834060669	2	1	373.131945848465	400
73	2	0	0	0	2	0.535895109176636	2	1	376.044432878494	100
74	2	0	0	0	1	0.754065036773682	1	1	378.663460969925	300
75	2	1	0	0	2	0.698395013809204	2	1	381.475849866867	200
76	2	0	0	0	2	0.594406127929688	2	1	384.188340902328	400
77	2	0	0	0	1	0.654814004898071	1	1	387.107457876205	400
78	2	0	0	0	2	0.627953052520752	2	1	390.026521921158	200
79	2	0	0	0	2	0.611777067184448	2	1	392.745633840561	400
80	2	0	0	0	1	0.637567043304443	2	2	395.664675951004	300
81	2	0	0	0	2	0.519731998443604	2	1	398.483808994293	500
82	2	0	0	0	2	0.497544050216675	2	1	401.49623799324	300
83	2	0	0	0	2	0.54741382598877	2	1	404.308578014374	100
84	2	0	0	0	2	0	0	99	406.920982837677	200
85	2	0	1	0	2	0.647624015808105	2	1	410.251513004303	300
86	2	0	0	0	1	0.681101083755493	1	1	413.065724849701	500
87	2	0	0	0	2	0.549406051635742	2	1	416.078163862228	400
88	2	0	0	0	2	0.483119010925293	2	1	418.990531921387	400
89	2	0	1	0	1	0.643273115158081	1	1	421.909533977509	100
90	2	0	0	0	2	0.605365037918091	2	1	424.528635978699	100
91	2	0	0	0	1	0.657040119171143	1	1	427.141150951385	500
92	2	0	0	0	2	0.547704935073853	2	1	430.153581857681	100
93	2	0	1	0	1	0.71922492980957	1	1	432.765916824341	300
94	2	0	0	0	1	0.751399040222168	1	1	435.578426837921	200
95	2	0	0	0	2	0.955075979232788	2	1	438.290856838226	400
96	2	0	0	0	1	0.482907056808472	1	1	441.209969997406	200
97	2	0	0	0	1	0	0	99	443.929075956345	100
98	2	0	0	0	1	0.754878044128418	1	1	447.645519971848	400
99	2	0	0	0	2	0.734135150909424	2	1	450.553633928299	200
100	2	0	0	0	2	0.69813084602356	2	1	453.272697925568	400
101	2	1	0	0	1	0	0	99	456.191788911819	400
102	2	0	0	0	2	0.721983909606934	2	1	459.526962995529	500
103	2	1	0	0	2	0	0	99	462.543125867844	100
104	2	0	0	0	2	0.718497037887573	2	1	466.294192790985	200
105	2	0	0	0	1	0	0	99	469.014139890671	500
106	2	0	0	0	1	0.646807909011841	1	1	472.733382940292	100
107	2	0	0	0	1	0	0	99	475.352160930634	500
108	2	0	0	0	1	0.723057985305786	1	1	479.090247869492	100
109	2	0	0	0	1	0.762640953063965	1	1	481.71009683609	200
110	2	1	0	0	2	0.613147974014282	1	2	484.422577857971	500
111	2	0	0	0	1	0.459994077682495	1	1	487.441733837128	200
112	2	0	0	0	2	0	0	99	490.154083013535	500
113	2	0	1	0	2	0.484992980957031	2	1	493.822065830231	200
114	2	0	0	0	1	0	0	99	496.538647890091	500
115	2	0	0	0	1	0	0	99	500.254575014114	200
116	2	0	0	0	2	0.649438858032227	2	1	503.945566892624	400
117	2	1	0	0	1	0.753247022628784	1	1	506.855387926102	500
118	2	0	0	0	1	0.526098966598511	1	1	509.874364852905	100
119	2	1	0	0	1	0.680078983306885	1	1	512.486804008484	100
120	2	0	0	0	2	0.685773134231567	2	1	515.099200963974	300
121	3	0	1	0	1	0	0	99	658.241555929184	300
122	3	0	0	0	2	0.684401988983154	2	1	661.978330850601	100
123	3	0	1	0	2	0.557375907897949	2	1	664.597479820251	300
124	3	0	0	0	1	0.671317100524902	1	1	667.409978866577	500
125	3	0	0	0	2	0.628268003463745	2	1	670.422360897064	400
126	3	0	0	0	2	0.606781959533691	2	1	673.334725856781	500
127	3	0	0	0	1	0.765520811080933	1	1	676.353797912598	300
128	3	0	0	0	1	0.807093143463135	1	1	679.166132926941	200
129	3	0	0	0	1	0.593467950820923	1	1	681.878532886505	100
130	3	1	0	0	2	0.628657102584839	1	2	684.497698783875	300
131	3	0	0	0	1	0.506878137588501	1	1	687.310162782669	400
132	3	0	0	0	2	0.569189071655273	1	2	690.222596883774	200
133	3	0	0	0	2	0.626603841781616	1	2	692.941871881485	500
134	3	0	0	0	1	0.822257995605469	1	1	695.960769891739	100
135	3	0	0	0	2	0	0	99	698.573027849197	200
136	3	0	0	0	2	0	0	99	702.278837919235	400
137	3	0	0	0	1	0	0	99	705.987873792648	500
138	3	0	0	0	2	0	0	99	709.680095911026	200
139	3	0	0	0	2	0.620355129241943	2	1	713.213773965836	300
140	3	1	0	0	1	0	0	99	716.034170866013	500
141	3	0	0	0	2	0	0	99	719.732981920242	500
142	3	1	0	0	1	0	0	99	723.43807387352	400
143	3	0	0	0	2	0.723709106445312	2	1	727.155133962631	200
144	3	0	0	0	2	0.693214893341064	2	1	729.876295804977	400
145	3	0	1	0	2	0.669474840164185	2	1	732.79542183876	100
146	3	0	0	0	2	0	0	99	735.414469003677	400
147	3	0	0	0	1	0	0	99	739.126545906067	100
148	3	0	0	0	2	0.680588960647583	2	1	742.842803001404	100
149	3	0	0	0	1	0.890666007995605	2	2	745.45120382309	500
150	3	0	0	0	1	0.150193929672241	2	2	748.46370100975	300
151	3	1	0	0	2	0.286288022994995	2	1	751.276057958603	500
152	3	0	0	0	1	0.775750875473022	1	1	754.288483858109	200
153	3	0	0	0	1	0.886853933334351	1	1	757.000855922699	300
154	3	0	0	0	1	0	0	99	759.819945812225	100
155	3	0	0	0	1	0.660689115524292	1	1	763.527393817902	100
156	3	0	0	0	2	0	0	99	766.137850999832	200
157	3	0	0	0	1	0.733520030975342	1	1	769.858210802078	100
158	3	0	0	0	2	0	0	99	772.469132900238	500
159	3	0	0	0	1	0.135748863220215	1	1	776.164488792419	200
160	3	0	0	0	1	0	0	99	778.873747825623	400
161	3	1	0	0	1	0.731487035751343	1	1	782.589493989944	400
