TrialNum	Block	Odd: Visual	Odd: Audio	Odd: Haptic	CueDirection	RT	RespDirection	Acc	TrialTime	ITI
1	1	0	0	0	2	0.438734666880919	2	1	5.99899794906378e-05	500
2	1	0	0	0	2	0.454929396306397	2	1	3.01504722045502	400
3	1	0	0	0	2	0.405399483570363	2	1	5.93084951271885	400
4	1	0	0	0	2	0.403068856627215	2	1	8.84647375982604	400
5	1	1	0	0	2	0.44767862817389	2	1	11.7616007637698	200
6	1	0	0	0	2	0.426511466910597	2	1	14.4773156053852	200
7	1	0	0	0	1	0.569578276830725	1	1	17.1933984069619	400
8	1	0	0	0	1	0.439206887502223	1	1	20.1087178921152	500
9	1	0	0	0	2	0.399701397458557	2	1	23.1248917694029	500
10	1	0	0	0	1	0.457929537136806	1	1	26.1399354610476	400
11	1	0	1	0	1	0.49853120779153	1	1	29.0561695528741	200
12	1	0	0	0	1	0.460961116536055	1	1	31.7717230310664	300
13	1	0	0	0	2	0.427950264129322	2	1	34.5873157433234	300
14	1	0	0	0	2	0.364660830411594	2	1	37.4029848065111	100
15	1	0	0	0	1	0.408760526741389	1	1	40.0182000630593	200
16	1	0	0	0	1	0.495499307551654	1	1	42.7343415714276	100
17	1	1	0	0	2	0.434810295322677	2	1	45.3496181012015	300
18	1	0	0	0	2	0.335532324505039	2	1	48.165363836044	500
19	1	0	0	0	1	0.455514860019321	1	1	51.1809089413146	200
20	1	0	0	0	2	0.379006456787465	2	1	53.8971723544237	300
21	1	0	0	0	1	0.38190041211783	1	1	56.7123290967138	400
22	1	0	0	0	1	0.507570126530482	1	1	59.6278384967009	400
23	1	0	0	0	2	0.3805055647681	2	1	62.5439753855171	500
24	1	0	0	0	2	0.408080105553381	2	1	65.5592163703986	200
25	1	0	0	0	2	0.385803610755829	2	1	68.2748150816769	400
26	1	0	0	0	1	0.401268194691511	1	1	71.1905140756862	400
27	1	0	0	0	1	0.454809095506789	1	1	74.1061508340645	100
28	1	0	0	0	2	0.477313359762775	2	1	76.7221132386476	100
29	1	0	1	0	2	0.393175642006099	2	1	79.3375273924903	100
30	1	0	0	0	1	0.510854497988475	1	1	81.953620684304	500
31	1	0	0	0	2	0.493444249586901	2	1	84.9689697794965	100
32	1	0	1	0	2	0.475540607614676	2	1	87.5849100487249	300
33	1	0	0	0	2	0.447555440216092	2	1	90.4006987710309	100
34	1	0	0	0	2	0.38652990659466	2	1	93.015847621602	300
35	1	0	0	0	1	0.471893409034237	1	1	95.8320867500152	400
36	1	0	0	0	2	0.39020758139668	2	1	98.7473565108667	200
37	1	0	0	0	2	0.469371584040346	2	1	101.463344355026	500
38	1	0	1	0	2	0.511433224892244	2	1	104.478696658247	300
39	1	0	0	0	1	0.456813145952765	1	1	107.294658934494	100
40	1	0	0	0	1	0.428203697752906	1	1	109.91029829139	100
41	1	0	0	0	1	0.586992054071743	1	1	112.525563272269	200
42	1	0	0	0	1	0.560404621210182	1	1	115.241940890934	200
