TrialNum	Block	Odd: Visual	Odd: Audio	Odd: Haptic	CueDirection	RT	RespDirection	Acc	TrialTime	ITI
1	1	0	0	0	1	0.483508825302124	1	1	0.000165224075317383	400
2	1	0	0	0	2	0.400787115097046	2	1	4.47887015342712	200
3	1	0	0	0	1	0.485153913497925	1	1	7.19748210906982	500
4	1	0	0	0	2	0.530704975128174	2	1	10.2132811546326	400
5	1	0	0	0	1	0.665369987487793	1	1	13.1290321350098	300
6	1	0	0	0	2	0.714019060134888	2	1	15.9447832107544	500
7	1	0	1	0	2	0.618619918823242	2	1	18.9605951309204	400
8	1	0	0	0	2	0.528069019317627	2	1	21.8763201236725	100
9	1	0	1	0	2	0.563630819320679	2	1	24.4920980930328	200
10	1	0	0	0	1	0.473714113235474	1	1	28.0522770881653	400
11	1	0	0	0	1	0.593720197677612	1	1	31.4678721427917	400
12	1	0	0	0	1	0.514482021331787	1	1	40.0835950374603	300
13	1	1	0	0	2	0.555567979812622	2	1	42.886449098587	200
14	1	0	0	0	2	0.407301902770996	2	1	45.6022610664368	500
15	1	0	0	0	1	0.384037971496582	1	1	48.6180901527405	200
16	1	0	0	0	2	0.436051845550537	2	1	51.3338251113892	300
17	1	0	0	0	2	0.413787841796875	2	1	54.1496560573578	500
18	1	0	0	0	2	0.508534908294678	2	1	57.165470123291	500
19	1	0	0	0	1	0.388806104660034	1	1	60.181205034256	500
20	1	0	0	0	1	0.460982084274292	1	1	63.1969451904297	500
21	1	0	0	0	2	0.453772783279419	2	1	66.2126941680908	200
22	1	0	1	0	1	0.513433933258057	1	1	68.9284331798553	300
23	1	0	0	0	2	0.401649951934814	2	1	71.7442672252655	200
24	1	0	0	0	1	0.457896947860718	1	1	74.4600660800934	100
25	1	1	0	0	1	0.63765287399292	1	1	77.0759110450745	300
26	1	0	0	0	2	0.366095066070557	2	1	79.8917751312256	500
27	1	0	0	0	2	0.413984060287476	2	1	82.9075770378113	400
28	1	0	0	0	1	0.434345960617065	1	1	85.823312997818	300
29	1	0	0	0	2	0.386390924453735	2	1	88.6390950679779	100
30	1	0	0	0	2	0.489234924316406	2	1	91.2548871040344	500
31	1	0	0	0	2	0.467293977737427	2	1	94.2707509994507	200
32	1	1	0	0	1	0.511125087738037	1	1	96.9864912033081	500
33	1	0	0	0	2	0.447342157363892	2	1	100.002332210541	100
34	1	0	0	0	2	0.466157197952271	2	1	102.618074178696	200
35	1	0	0	0	1	0.404078006744385	1	1	105.333947181702	200
36	1	1	0	0	2	0.504420042037964	2	1	108.049777030945	100
37	1	0	0	0	1	0.416127920150757	1	1	110.665655136108	400
38	1	0	0	0	1	0.494343996047974	1	1	113.581472158432	400
39	1	0	0	0	2	0.399147033691406	2	1	116.497237205505	400
40	1	0	0	0	1	0.412774085998535	1	1	119.413058042526	100
41	1	0	1	0	1	0.468730926513672	1	1	122.028789043427	100
42	1	0	0	0	1	0.444595098495483	1	1	124.644663095474	300
43	1	0	1	0	2	0.364521026611328	2	1	127.460525035858	300
44	1	0	0	0	2	0.398548126220703	2	1	130.276321172714	200
45	1	0	0	0	2	0.505157947540283	2	1	132.992126226425	100
46	1	0	0	0	2	0.481429100036621	2	1	135.607966184616	400
47	1	0	0	0	1	0.488579988479614	1	1	138.523823022842	300
48	1	0	0	0	1	0.428226947784424	1	1	141.339599132538	300
49	1	0	0	0	1	0.365746021270752	1	1	144.15541100502	300
50	1	1	0	0	1	0.471134901046753	1	1	146.971204042435	200
51	1	0	0	0	2	0.419798851013184	2	1	149.687013149261	100
