TrialNum	Block	Odd: Visual	Odd: Audio	Odd: Haptic	CueDirection	RT	RespDirection	Acc	TrialTime	ITI
1	1	0	0	0	1	0.421506399999998	1	1	0.000213700000131212	300
2	1	0	0	0	2	0.536220899999535	2	1	2.81520480000017	200
3	1	0	0	0	1	0.432999000000564	1	1	5.52974549999999	500
4	1	0	0	0	1	0.45582529999956	1	1	8.54590300000018	300
5	1	0	1	0	2	0.594851100000596	2	1	11.3611666999996	500
6	1	0	0	0	1	0.489759799999774	1	1	14.3774531999998	300
7	1	0	0	0	1	0.4869091999999	1	1	17.1929619000002	100
8	1	0	0	0	2	0.606732000000193	2	1	19.8085306000003	200
9	1	0	1	0	1	0.535911000000851	1	1	22.5408261000002	500
10	1	0	0	0	2	0.611705799999982	2	1	25.5565682999995	400
11	1	0	0	0	1	0.668379599999753	1	1	28.4717568999995	200
12	1	1	0	0	2	0.413446300000032	2	1	31.1877793000003	300
13	1	0	0	0	2	0.497694100000444	2	1	34.0030684000003	500
14	1	0	0	0	1	0.420610199999828	1	1	37.0192010000001	100
15	1	0	0	0	1	0.601609599999392	1	1	39.6341778999995	300
16	1	0	1	0	1	0.490917300000547	1	1	42.4500355999999	400
17	1	0	0	0	2	0.62100239999927	2	1	45.3657009999997	300
18	1	0	1	0	1	0.588174299999991	1	1	48.1813273999996	400
19	1	0	0	0	2	0.482942900000126	2	1	51.0968597999999	200
20	1	0	0	0	1	0.352739300000394	1	1	53.8128686	500
21	1	0	0	0	1	0.553370700000414	1	1	56.8288737000003	200
22	1	1	0	0	2	0.472602800000459	2	1	59.5437726999999	400
23	1	0	0	0	1	0.534862599999542	1	1	62.4601657000003	400
24	1	0	0	0	1	0.432346199999301	1	1	65.3757390000001	300
25	1	0	0	0	1	0.396883200000048	1	1	68.1908477999996	300
26	1	0	0	0	2	0.503180300000167	2	1	71.0064966	400
27	1	1	0	0	1	0.463032800000292	1	1	73.9220012999995	300
28	1	0	0	0	1	0.428172199999608	1	1	76.7380992999997	500
29	1	1	0	0	2	0.544967599999836	2	1	79.753291	400
30	1	0	0	0	1	0.405677699999615	1	1	82.736191	100
31	1	0	1	0	2	0.393325500000174	2	1	85.3511647999994	400
32	1	0	0	0	2	0.378898300000401	2	1	88.2674039000003	200
33	1	0	0	0	2	0.341229399999975	2	1	90.9829576000002	500
34	1	0	0	0	2	0.407823900000039	2	1	93.9983734999996	100
35	1	1	0	0	1	0.708552500000224	2	2	96.6139588999995	200
