TrialNum	Block	Odd: Visual	Odd: Audio	Odd: Haptic	CueDirection	RT	RespDirection	Acc	TrialTime	ITI
1	1	0	0	0	2	0.523844003677368	2	1	0.000210046768188477	100
2	1	0	0	0	2	0.487105846405029	2	1	2.63233590126038	300
3	1	0	0	0	1	0.487957000732422	1	1	5.44767785072327	300
4	1	0	0	0	2	0.440266847610474	2	1	8.2630889415741	400
5	1	0	0	0	1	0.465471982955933	1	1	11.1787798404694	300
6	1	1	0	0	2	0	0	99	13.9945130348206	400
7	1	0	0	0	2	0.579213857650757	2	1	17.6479539871216	200
8	1	0	0	0	1	0.470426082611084	1	1	20.3591299057007	100
9	1	0	0	0	1	0.544056177139282	1	1	22.9749140739441	400
10	1	0	0	0	2	0.535729169845581	2	1	25.8907518386841	200
11	1	1	0	0	1	0.652817964553833	1	1	28.6064710617065	500
12	1	0	0	0	2	0.599433183670044	2	1	31.6222789287567	500
13	1	0	0	0	1	0.547711849212646	1	1	34.637934923172	100
14	1	0	0	0	1	0.533812999725342	1	1	37.2536649703979	100
15	1	0	0	0	2	0.49838399887085	2	1	39.8695199489594	100
16	1	0	0	0	2	0.586423873901367	2	1	42.4853799343109	400
17	1	0	0	0	1	0.498566150665283	1	1	45.4010758399963	300
18	1	0	0	0	1	0.564327001571655	1	1	48.2168309688568	400
19	1	0	0	0	2	0.498488903045654	2	1	51.1325290203094	300
20	1	0	0	0	1	0.546638965606689	1	1	53.9482588768005	400
21	1	0	1	0	1	0.63913106918335	1	1	56.8640739917755	500
22	1	0	0	0	2	0.612792015075684	2	1	59.8797919750214	300
23	1	0	0	0	2	0.582054853439331	2	1	62.6954860687256	400
24	1	0	0	0	1	0.503790855407715	1	1	65.6112430095673	100
25	1	0	0	0	1	0.527374029159546	1	1	68.227077960968	500
26	1	0	0	0	1	0.545208930969238	1	1	71.2427649497986	400
27	1	0	0	0	2	0.543848037719727	2	1	74.1586098670959	300
28	1	0	0	0	1	0.430325984954834	1	1	76.9743368625641	400
29	1	0	0	0	1	0.495520114898682	1	1	79.8899459838867	500
30	1	1	0	0	2	0.481128931045532	2	1	82.9059860706329	500
31	1	0	0	0	2	0.555938005447388	2	1	85.921404838562	500
32	1	0	0	0	2	0.548352956771851	2	1	88.937059879303	500
33	1	0	0	0	1	0.513772964477539	1	1	91.9527480602264	400
34	1	0	1	0	1	0.509917020797729	1	1	94.8684968948364	200
35	1	0	0	0	2	0.571043014526367	2	1	97.5842189788818	100
36	1	0	0	0	2	0.586710929870605	2	1	100.20005106926	300
37	1	0	0	0	1	0.484725952148438	1	1	103.015830039978	500
38	1	0	0	0	2	0.443901062011719	2	1	106.031605958939	200
39	1	0	1	0	2	0.495522022247314	2	1	108.747313976288	500
40	1	0	0	0	2	0.537513971328735	2	1	111.763085842133	100
41	1	0	1	0	1	0.530946969985962	1	1	114.378762960434	200
42	1	0	0	0	2	0.531913995742798	2	1	117.094609022141	200
43	1	0	0	0	1	0.506644010543823	1	1	119.810422897339	400
44	1	0	1	0	2	0.453994035720825	2	1	122.726224899292	500
45	1	0	0	0	1	0.596366882324219	1	1	125.741912841797	300
46	1	1	0	0	1	0.658918142318726	1	1	128.557601928711	200
47	1	0	0	0	2	0.566161155700684	2	1	131.27336192131	500
48	1	0	0	0	1	0.494784832000732	1	1	134.289137840271	400
49	1	0	0	0	1	0.549944877624512	1	1	137.204879045486	200
50	1	0	0	0	1	0.558708906173706	1	1	139.92062997818	300
51	1	1	0	0	1	0.558294057846069	1	1	142.736536026001	200
52	1	0	0	0	2	0.559759855270386	2	1	145.452221870422	200
53	1	0	0	0	2	0.579213857650757	2	1	148.167934894562	200
54	1	0	0	0	1	0.518648862838745	1	1	150.883812904358	200
55	1	1	0	0	2	0.515584945678711	2	1	153.599498033524	300
56	1	0	0	0	1	0.510845899581909	1	1	156.415286064148	100
57	1	0	0	0	1	0.596415996551514	1	1	159.030986070633	100
58	1	0	0	0	2	0.558369874954224	2	1	161.646885871887	100
59	1	0	1	0	2	0.517478942871094	2	1	164.262681007385	300
60	1	0	0	0	2	0.613783836364746	2	1	167.078518867493	100
61	2	1	0	0	2	0.505154132843018	2	1	187.588595867157	200
62	2	0	0	0	1	0.478957891464233	1	1	190.304383039474	300
63	2	0	0	0	2	0.44565486907959	2	1	193.120187044144	200
64	2	0	0	0	2	0.535444974899292	2	1	195.835947036743	200
65	2	0	0	0	1	0.501784086227417	1	1	198.551738977432	200
66	2	0	1	0	2	0.441647052764893	2	1	201.267533063889	200
